Oui	O
,	O
Pylade	O
,	O
il	O
est	O
vrai	O
,	O
la	O
valeur	O
et	O
l'	O
adresse	O
Ont	O
de	O
l'	O
Asie	B-LOC
enfin	O
fait	O
triompher	O
la	O
Grèce	B-LOC
.	O

De	O
tous	O
côtés	O
en	O
foule	O
on	O
vient	O
dans	O
cette	O
Cour	O
,	O
Croyant	O
d'	O
Agamemnon	O
célébrer	O
le	O
retour	O
,	O
Et	O
toi-même	O
suivant	O
le	O
zèle	O
qui	O
te	O
guide	O
,	O
Pour	O
voler	O
dans	O
Mycènes	B-LOC
as	O
quitté	O
la	O
Phocide	B-LOC
.	O

Cependant	O
cher	O
Ami	O
,	O
tes	O
soins	O
sont	O
superflus	O
.	O

Les	O
Troyens	O
sont	O
vengés	O
:	O
mon	O
Père	O
ne	O
vit	O
plus	O
.	O

Il	O
n'	O
est	O
plus	O
!	O

Ô	O
disgrâce	O
à	O
jamais	O
déplorable	O
!	O

Des	O
caprices	O
du	O
fort	O
exemple	O
mémorable	O
!	O

Monarque	O
infortuné	O
!	O

Mais	O
de	O
grâce	O
,	O
Seigneur	O
,	O
Quand	O
,	O
comment	O
a	O
péri	O
cet	O
illustre	O
Vainqueur	O
?	O

Après	O
que	O
pour	O
venger	O
l'	O
enlèvement	O
d'	O
Hélène	O
Il	O
eut	O
mis	O
Ilion	B-LOC
sous	O
le	O
joug	O
de	O
Mycènes	B-LOC
.	O

Enfin	O
à	O
la	O
faveur	O
et	O
des	O
vents	O
et	O
des	O
eaux	O
Il	O
retournait	O
en	O
Grèce	B-LOC
avec	O
mille	O
vaisseaux	O
.	O

De	O
proie	O
et	O
de	O
captifs	O
cette	O
flotte	O
chargée	O
Couvrait	O
presque	O
déjà	O
tout	O
la	O
mer	B-LOC
Egée	I-LOC
,	O
Déjà	O
du	O
haut	O
des	O
mâts	O
les	O
experts	O
matelots	O
Découvraient	O
les	O
sommets	O
des	O
montagnes	O
d'	O
Argos	B-LOC
:	O
Quand	O
après	O
un	O
long	O
calme	O
il	O
s'	O
élève	O
un	O
orage	O
Qui	O
des	O
Grecs	O
les	O
plus	O
fiers	O
fait	O
trembler	O
le	O
courage	O
;	O

Et	O
bientôt	O
les	O
écueils	O
,	O
l'	O
eau	O
,	O
la	O
foudre	O
et	O
les	O
vents	O
Font	O
périr	O
à	O
l'	O
envie	O
leurs	O
vaisseaux	O
triomphants	O
.	O

Celui	O
d'	O
Agamemnon	O
,	O
par	O
les	O
vagues	O
émues	O
,	O
Tantôt	O
presqu'	O
englouti	O
,	O
tantôt	O
parmi	O
les	O
nues	O
,	O
Enfin	O
malgré	O
les	O
voeux	O
et	O
tout	O
l'	O
Art	O
des	O
Nochers	O
Heurte	O
,	O
s'	O
ouvre	O
et	O
le	O
brise	O
entre	O
d'	O
affreux	O
rochers	O
.	O

Juste	O
Ciel	O
!	O

Pour	O
cacher	O
des	O
objets	O
si	O
funèbres	O
,	O
La	O
tempête	O
et	O
la	O
nuit	O
redoublent	O
leurs	O
ténèbres	O
Et	O
des	O
flots	O
agités	O
les	O
contraires	O
efforts	O
Dispersent	O
en	O
cent	O
lieux	O
le	O
débris	O
et	O
les	O
morts	O
.	O

Mais	O
enfin	O
sait-on	O
bien	O
qu'	O
Agamemnon	O
lui-même	O
,	O
Seigneur	O
,	O
ait	O
succombé	O
dans	O
ce	O
péril	O
extrême	O
?	O

La	O
douleur	O
quelquefois	O
trouble	O
,	O
aveugle	O
,	O
séduit	O
;	O

Et	O
le	O
bruit	O
de	O
la	O
perte	O
est	O
peut-être	O
un	O
faux	O
bruit	O
.	O

Ah	O
Pylade	O
!	O

Eurybate	O
échappé	O
de	O
l'	O
orage	O
Vint	O
d'	O
abord	O
de	O
mon	O
père	O
annoncer	O
le	O
naufrage	O
,	O
Et	O
depuis	O
quelques	O
Grecs	O
arrivés	O
dans	O
ce	O
Port	O
N'	O
ont	O
que	O
trop	O
